geneSymbol	diseaseName
ELANE	Neutropenia, Severe Congenital, Autosomal Dominant 1
ELANE	Cyclic Hematopoesis
ELANE	Periodic Fever Syndrome
ELAVL2	Schizophrenia
ELAVL2	Small cell carcinoma of lung
ELAVL1	Endometriosis
ELAVL1	Endometrioma
ELAVL3	Polycystic Ovary Syndrome
ELAVL3	Sclerocystic Ovaries
ELF2	Juvenile-Onset Still Disease
ELF2	Juvenile arthritis
ELF2	Juvenile psoriatic arthritis
ELF3	Biliary Tract Neoplasm
ELF3	Lung Injury
ELF3	Biliary Tract Cancer
ELF3	Chronic Lung Injury
ELF4	X-linked agammaglobulinemia with growth hormone deficiency
ELK3	Malignant neoplasm of breast
ELK3	Breast Carcinoma
ELN	Supravalvular aortic stenosis
ELN	Cutis Laxa
ELN	Ehlers-Danlos Syndrome
ELN	Chronic Obstructive Airway Disease
ELN	Pulmonary Emphysema
ELN	Pulmonary Fibrosis
ELN	Hamman-Rich syndrome
ELN	Myocardial Ischemia
ELN	Aortic Aneurysm, Thoracic
ELN	Williams Syndrome
ELN	Centriacinar Emphysema
ELN	Muscular Dystrophy, Facioscapulohumeral
ELN	Panacinar Emphysema
ELN	Cutis Laxa, Autosomal Dominant
ELN	Congenital aneurysm of ascending aorta
ELN	Congenital supravalvular aortic stenosis
ELN	Chronic Airflow Obstruction
ELN	Focal Emphysema
EML1	Hydrocephalus
EML1	Epileptic encephalopathy
EML1	Band Heterotopia of Brain
EML1	Subcortical Band Heterotopia
EML1	BAND HETEROTOPIA
EMD	Arthrogryposis
EMD	Charcot-Marie-Tooth Disease
EMD	Muscular Dystrophy, Emery-Dreifuss
EMD	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)
EMD	Congenital muscular dystrophy (disorder)
EMD	X-Linked Emery-Dreifuss Muscular Dystrophy
EMD	Autosomal Recessive Emery-Dreifuss Muscular Dystrophy
EMD	Muscular dystrophy, tardive Emery-Dreifuss type, with contractures
MARK2	Adenoid Cystic Carcinoma
MARK2	Schizophrenia
MARK2	Malignant neoplasm of salivary gland
EMP1	Abortion, Tubal
EMP1	Liver Cirrhosis, Experimental
EMP1	Unipolar Depression
EMP1	Malignant neoplasm of prostate
EMP1	Major Depressive Disorder
EMP2	NEPHROTIC SYNDROME, TYPE 10
EMP3	Malignant neoplasm of prostate
ADGRE1	Liver Cirrhosis, Experimental
CTTN	Squamous cell carcinoma
CTTN	Leukoplakia
CTTN	Juvenile-Onset Still Disease
CTTN	Juvenile arthritis
CTTN	Juvenile psoriatic arthritis
EMX2	Schizophrenia
EMX2	Malignant neoplasm of lung
EMX2	Schizencephaly
EMX2	Epileptic encephalopathy
EMX2	Familial schizencephaly
EN1	Adenoid Cystic Carcinoma
EN1	Schizophrenia
EN1	Malignant neoplasm of salivary gland
EN2	Schizophrenia
EN2	Autism Spectrum Disorders
ENG	Hereditary hemorrhagic telangiectasia
ENG	Aortic Aneurysm, Thoracic
ENG	Familial primary pulmonary hypertension
ENG	Juvenile polyposis syndrome
ENG	Familial pulmonary arterial hypertension
ENG	JUVENILE POLYPOSIS OF STOMACH
ENG	ANEURYSM, INTRACRANIAL BERRY, 1 (disorder)
ENG	Juvenile Polyposis Coli
ENG	Pulmonary arterial hypertension
ENG	Idiopathic pulmonary arterial hypertension
ENO1	Osteoporosis, Age-Related
ENO1	Alzheimer's Disease
ENO1	Rheumatoid Arthritis
ENO1	Malignant neoplasm of breast
ENO1	Non-Small Cell Lung Carcinoma
ENO1	Squamous cell carcinoma
ENO1	Presenile dementia
ENO1	Hepatitis, Toxic
ENO1	Male infertility
ENO1	Malignant neoplasm of stomach
ENO1	Degenerative polyarthritis
ENO1	Osteoporosis
ENO1	Osteoporosis, Senile
ENO1	Osteoarthrosis Deformans
ENO1	Adenocarcinoma of lung (disorder)
ENO1	Malignant neoplasm of mouth
ENO1	Congenital anemia
ENO1	Adenocarcinoma, Basal Cell
ENO1	Adenocarcinoma, Oxyphilic
ENO1	Carcinoma, Cribriform
ENO1	Carcinoma, Granular Cell
ENO1	Adenocarcinoma, Tubular
ENO1	Anaplastic carcinoma
ENO1	Carcinoma, Spindle-Cell
ENO1	Familial Alzheimer Disease (FAD)
ENO1	Alzheimer Disease, Late Onset
ENO1	Necrotizing Enterocolitis
ENO1	Acute Confusional Senile Dementia
ENO1	Malignant neoplasm of esophagus
ENO1	Breast Carcinoma
ENO1	Alzheimer's Disease, Focal Onset
ENO1	Alzheimer Disease, Early Onset
ENO1	Post-Traumatic Osteoporosis
ENO1	Drug-Induced Liver Disease
ENO1	Acute Coronary Syndrome
ENO1	Mammary Carcinoma, Animal
ENO1	Hepatitis, Drug-Induced
ENO1	Hereditary Diffuse Gastric Cancer
ENO1	Liver carcinoma
ENO1	Drug-Induced Acute Liver Injury
ENO1	Chemical and Drug Induced Liver Injury
ENO1	Chemically-Induced Liver Toxicity
ENO2	Malignant neoplasm of urinary bladder
ENO2	Non-Small Cell Lung Carcinoma
ENO2	Hepatoma, Morris
ENO2	Hepatoma, Novikoff
ENO2	Leukemia, Myelocytic, Acute
ENO2	Acute Myeloid Leukemia, M1
ENO2	Schizophrenia
ENO2	Experimental Hepatoma
ENO2	Acute Myeloid Leukemia (AML-M2)
ENO3	Glycogen Storage Disease XIII
ENPEP	Malignant neoplasm of breast
ENPEP	Liver Cirrhosis, Experimental
ENPEP	Unipolar Depression
ENPEP	Major Depressive Disorder
ENSA	Myocardial Ischemia
SLC29A1	Alcoholic Intoxication, Chronic
SLC29A1	Huntington Disease
SLC29A1	Pancreatic Neoplasm
SLC29A1	Malignant neoplasm of pancreas
SLC29A1	Huntington Disease, Late Onset
SLC29A1	Alcohol Withdrawal Seizures
SLC29A1	Akinetic-Rigid Variant of Huntington Disease
SLC29A1	Juvenile Huntington Disease
SLC29A1	Alcohol Withdrawal-Induced Major Motor Seizure
SLC29A1	Status Epilepticus, Alcohol Withdrawal-Induced
SLC29A1	Colorectal Cancer
EP300	Alcoholic Intoxication, Chronic
EP300	Malignant neoplasm of urinary bladder
EP300	Malignant neoplasm of breast
EP300	Squamous cell carcinoma
EP300	Carcinoma, Transitional Cell
EP300	Colorectal Carcinoma
EP300	Adenoid Cystic Carcinoma
EP300	Toxic Epidermal Necrolysis
EP300	Leukemia, Myelocytic, Acute
EP300	melanoma
EP300	Obesity
EP300	Osteogenesis Imperfecta
EP300	Pancreatic Neoplasm
EP300	Rubinstein-Taybi Syndrome
EP300	Stevens-Johnson Syndrome
EP300	Diffuse Large B-Cell Lymphoma
EP300	T-Cell Lymphoma
EP300	Small cell carcinoma of lung
EP300	Adenocarcinoma of lung (disorder)
EP300	Pancreatic carcinoma
EP300	Squamous cell carcinoma of esophagus
EP300	Malignant neoplasm of pancreas
EP300	Benign tumor of pancreas
EP300	Endometrial Carcinoma
EP300	Neoplasm of uncertain or unknown behavior of breast
EP300	Breast Carcinoma
EP300	Breast adenocarcinoma
EP300	Drug-Induced Stevens Johnson Syndrome
EP300	Adenocarcinoma of large intestine
EP300	Colorectal Cancer
EP300	Precursor Cell Lymphoblastic Leukemia Lymphoma
EP300	RUBINSTEIN-TAYBI SYNDROME 2
EP300	Mycoplasma-Induced Stevens-Johnson Syndrome
EP300	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
EPAS1	Renal Cell Carcinoma
EPAS1	Familial erythrocytosis
EPAS1	Benign neoplasm of adrenal gland
EPAS1	Benign neoplasm of aortic body and other paraganglia
EPAS1	Conventional (Clear Cell) Renal Cell Carcinoma
EPAS1	Malignant Adrenal Medulla Neoplasm
EPAS1	Malignant neoplasm of aortic body and other paraganglia
EPAS1	Chromophobe Renal Cell Carcinoma
EPAS1	Sarcomatoid Renal Cell Carcinoma
EPAS1	Collecting Duct Carcinoma of the Kidney
EPAS1	Papillary Renal Cell Carcinoma
EPAS1	Secondary polycythemia
EPAS1	Erythrocytosis, Familial, 4
EPB41	Elliptocytosis, Hereditary
EPB41	melanoma
EPB41	Congenital anemia
EPB41	Elliptocytosis 1
EPB41L1	MENTAL RETARDATION, AUTOSOMAL DOMINANT 11
EPB41L2	Liver Cirrhosis, Experimental
EPB42	Hereditary spherocytosis
EPB42	Congenital anemia
EPB42	Anemia, hereditary spherocytic hemolytic
EPB42	Spherocytosis, Type 5
STOM	STOMATOCYTOSIS I
EPHA1	Alzheimer's Disease
EPHA1	Colorectal Carcinoma
EPHA1	Presenile dementia
EPHA1	Familial Alzheimer Disease (FAD)
EPHA1	Alzheimer Disease, Late Onset
EPHA1	Acute Confusional Senile Dementia
EPHA1	Alzheimer's Disease, Focal Onset
EPHA1	Alzheimer Disease, Early Onset
EPHA1	Colorectal Cancer
EPHA3	Squamous cell carcinoma of lung
EPHA3	Adenocarcinoma of lung (disorder)
EPHA3	Large cell carcinoma of lung
EPHA3	Carcinoma of lung
EPHA3	Pancreatic Ductal Adenocarcinoma
EPHA3	Colorectal Cancer
EPHA4	Amyotrophic Lateral Sclerosis
EPHA4	Metastatic melanoma
EPHA4	Carcinoma of bladder
EPHA5	Squamous cell carcinoma of lung
EPHA5	Adenocarcinoma of lung (disorder)
EPHA5	Large cell carcinoma of lung
EPHA7	Small cell carcinoma of lung
EPHA7	Metastatic melanoma
EPHA7	Adenocarcinoma of large intestine
EPHA7	Colorectal Cancer
EPHA8	Alcoholic Intoxication, Chronic
EPHA8	Adenocarcinoma of lung (disorder)
EPHA8	Gastric Adenocarcinoma
EPHA8	Metastatic melanoma
EPHA8	Infiltrating duct carcinoma of female breast
EPHB1	Gastric Adenocarcinoma
EPHB1	Undifferentiated carcinoma of ovary
EPHB2	Adenocarcinoma of prostate
EPHB2	Ependymoma
EPHB2	Myxopapillary ependymoma
EPHB2	Anaplastic Ependymoma
EPHB2	Papillary ependymoma
EPHB2	Malignant neoplasm of prostate
EPHB2	Cellular Ependymoma
EPHB2	Prostate cancer, familial
EPHB3	Small cell carcinoma of lung
EPHB4	Malignant neoplasm of breast
EPHB4	Parkinson Disease
EPHB4	Gastric Adenocarcinoma
EPHB4	Metastatic melanoma
EPHB4	Breast Carcinoma
EPHB6	Ovarian Mucinous Adenocarcinoma
EPHB6	Colorectal Cancer
EPHB6	Glioblastoma Multiforme
EPHX1	Alcoholic Intoxication, Chronic
EPHX1	Malignant neoplasm of skin
EPHX1	Hepatitis, Toxic
EPHX1	Childhood Acute Lymphoblastic Leukemia
EPHX1	Leukemia, Lymphocytic, Acute, L2
EPHX1	Chronic Obstructive Airway Disease
EPHX1	Reticulosarcoma
EPHX1	Lymphoma, Mixed-Cell
EPHX1	Lymphoma, Non-Hodgkin
EPHX1	Lymphoma, Undifferentiated
EPHX1	Multiple Myeloma
EPHX1	Pulmonary Emphysema
EPHX1	High Grade Lymphoma (neoplasm)
EPHX1	Lymphoma, Intermediate-Grade
EPHX1	Low Grade Lymphoma (neoplasm)
EPHX1	Diffuse Mixed-Cell Lymphoma
EPHX1	Lymphoma, Small Noncleaved-Cell
EPHX1	Congenital anemia
EPHX1	Anaplastic carcinoma
EPHX1	Carcinoma, Spindle-Cell
EPHX1	Centriacinar Emphysema
EPHX1	Amphetamine Addiction
EPHX1	Amphetamine Abuse
EPHX1	Malignant neoplasm of lung
EPHX1	Acute Lung Injury
EPHX1	Panacinar Emphysema
EPHX1	Malignant mesothelioma
EPHX1	Malignant neoplasm of prostate
EPHX1	Drug-Induced Liver Disease
EPHX1	Hereditary non-polyposis colorectal cancer syndrome
EPHX1	Cholestasis in newborn
EPHX1	Mammary Carcinoma, Animal
EPHX1	Hepatitis, Drug-Induced
EPHX1	Hereditary Nonpolyposis Colorectal Cancer
EPHX1	Chronic Airflow Obstruction
EPHX1	Hypercholanemia, Familial
EPHX1	Precursor Cell Lymphoblastic Leukemia Lymphoma
EPHX1	Liver carcinoma
EPHX1	Focal Emphysema
EPHX1	Drug-Induced Acute Liver Injury
EPHX1	Lymphoma, Diffuse
EPHX1	Chemical and Drug Induced Liver Injury
EPHX1	Chemically-Induced Liver Toxicity
EPHX2	Heart failure
EPHX2	Congestive heart failure
EPHX2	Hypercholesterolemia, Familial
EPHX2	Kidney Failure, Acute
EPHX2	Left-Sided Heart Failure
EPHX2	Heart Failure, Right-Sided
EPHX2	Hyperlipoproteinemia Type IIa
EPHX2	Acute Kidney Insufficiency
EPHX2	Myocardial Failure
EPHX2	Acute kidney injury
STX2	Male infertility
CLN8	Epileptic encephalopathy
CLN8	CEROID LIPOFUSCINOSIS, NEURONAL, 8
CLN8	Northern epilepsy syndrome
EPO	Anemia
EPO	Cooley's anemia
EPO	Anemia, Hemolytic
EPO	Anemia, Microangiopathic
EPO	beta Thalassemia
EPO	Coronary Arteriosclerosis
EPO	Experimental Autoimmune Encephalomyelitis
EPO	Hemoglobin F Disease
EPO	Hemolytic-Uremic Syndrome
EPO	Kidney Failure, Acute
EPO	Kidney Failure, Chronic
EPO	melanoma
EPO	Myocardial Infarction
EPO	Pancytopenia
EPO	Pulmonary Embolism
EPO	Kidney Failure
EPO	Sarcoma, Engelbreth-Holm-Swarm
EPO	Sarcoma, Experimental
EPO	Sarcoma, Jensen
EPO	Status Epilepticus
EPO	Gastric ulcer
EPO	Thyroid Neoplasm
EPO	Uremia
EPO	Ventricular Fibrillation
EPO	Tachycardia, Ventricular
EPO	Thalassemia Minor
EPO	Deep Vein Thrombosis
EPO	Thyroid Gland Follicular Adenoma
EPO	Polyneuropathy
EPO	Microangiopathic hemolytic anemia
EPO	Congenital diaphragmatic hernia
EPO	Tumoral calcinosis
EPO	Congenital hernia of foramen of Morgagni
EPO	Congenital hernia of foramen of Bochdalek
EPO	Petit mal status
EPO	Polyneuropathy, Motor
EPO	Thalassemia Intermedia
EPO	Brain Lacerations
EPO	Grand Mal Status Epilepticus
EPO	Complex Partial Status Epilepticus
EPO	Polyneuropathy, Critical Illness
EPO	Pulmonary Thromboembolisms
EPO	Thyroid carcinoma
EPO	Polyneuropathy, Familial
EPO	Acquired Polyneuropathy
EPO	Status Epilepticus, Subclinical
EPO	Non-Convulsive Status Epilepticus
EPO	Simple Partial Status Epilepticus
EPO	Degenerative Diseases, Spinal Cord
EPO	Renal Insufficiency
EPO	Acute Kidney Insufficiency
EPO	Coronary Artery Disease
EPO	Liver carcinoma
EPO	Acute kidney injury
EPO	Hematopoetic Myelodysplasia
EPOR	Malignant neoplasm of breast
EPOR	Acute Erythroblastic Leukemia
EPOR	melanoma
EPOR	Polycythemia
EPOR	Thyroid Neoplasm
EPOR	Thyroid Gland Follicular Adenoma
EPOR	Familial erythrocytosis
EPOR	Thyroid carcinoma
EPOR	Breast Carcinoma
EPS8	DEAFNESS, AUTOSOMAL RECESSIVE (disorder)
EPS8	DEAFNESS, AUTOSOMAL RECESSIVE 102
NR2F6	Malignant neoplasm of breast
NR2F6	Endometriosis
NR2F6	Endometrioma
NR2F6	Breast Carcinoma
ERBB2	Astrocytoma
ERBB2	Biliary Tract Neoplasm
ERBB2	Malignant neoplasm of breast
ERBB2	Malignant tumor of colon
ERBB2	Basal cell carcinoma
ERBB2	Bronchioloalveolar Adenocarcinoma
ERBB2	Non-Small Cell Lung Carcinoma
ERBB2	Renal Cell Carcinoma
ERBB2	Ependymoma
ERBB2	gallbladder neoplasm
ERBB2	Glioma
ERBB2	Mammary Ductal Carcinoma
ERBB2	Lymphatic Metastasis
ERBB2	Malignant neoplasm of stomach
ERBB2	Medulloblastoma
ERBB2	Ovarian Carcinoma
ERBB2	Papilloma
ERBB2	Adenocarcinoma of lung (disorder)
ERBB2	Malignant neoplasm of gallbladder
ERBB2	Benign neoplasm of stomach
ERBB2	Carcinoma in situ of stomach
ERBB2	Adenocarcinoma, Basal Cell
ERBB2	Adenocarcinoma, Oxyphilic
ERBB2	Carcinoma, Cribriform
ERBB2	Carcinoma, Granular Cell
ERBB2	Adenocarcinoma, Tubular
ERBB2	Medullomyoblastoma
ERBB2	Papilloma, Squamous Cell
ERBB2	Papillomatosis
ERBB2	Cholangiocarcinoma
ERBB2	Subependymal Glioma
ERBB2	Malignant neoplasm of lung
ERBB2	mixed gliomas
ERBB2	Childhood Medulloblastoma
ERBB2	Adult Medulloblastoma
ERBB2	Malignant Head and Neck Neoplasm
ERBB2	Conventional (Clear Cell) Renal Cell Carcinoma
ERBB2	Intrahepatic Cholangiocarcinoma
ERBB2	Malignant neoplasm of prostate
ERBB2	Neoplasm of uncertain or unknown behavior of stomach
ERBB2	Neoplasm of uncertain or unknown behavior of ovary
ERBB2	Neoplasm of uncertain or unknown behavior of breast
ERBB2	Malignant neoplasm of esophagus
ERBB2	Malignant Glioma
ERBB2	Epithelial ovarian cancer
ERBB2	Breast Carcinoma
ERBB2	Carcinoma of lung
ERBB2	Malignant neoplasm of gastrointestinal tract
ERBB2	Stomach Carcinoma
ERBB2	Desmoplastic Medulloblastoma
ERBB2	Well Differentiated Oligodendroglioma
ERBB2	Breast adenocarcinoma
ERBB2	ovarian neoplasm
ERBB2	Invasive Ductal Breast Carcinoma
ERBB2	Malignant neoplasm of ovary
ERBB2	Mammary Carcinoma, Animal
ERBB2	Chromophobe Renal Cell Carcinoma
ERBB2	Sarcomatoid Renal Cell Carcinoma
ERBB2	Collecting Duct Carcinoma of the Kidney
ERBB2	Melanotic medulloblastoma
ERBB2	Papillary Renal Cell Carcinoma
ERBB2	Adenocarcinoma of large intestine
ERBB2	Pigmented Basal Cell Carcinoma
ERBB2	Glioblastoma Multiforme
ERBB2	Hereditary Diffuse Gastric Cancer
ERBB2	Glioma of Brain, Familial
ERBB2	Nasopharyngeal carcinoma
ERBB2	GASTRIC CANCER, INTESTINAL
ERBB2	Extrahepatic Cholangiocarcinoma
ERBB2	Head and Neck Carcinoma
ERBB3	Arthrogryposis
ERBB3	Bipolar Disorder
ERBB3	Malignant neoplasm of urinary bladder
ERBB3	Malignant neoplasm of breast
ERBB3	Malignant neoplasm of skin
ERBB3	Mental Depression
ERBB3	gallbladder neoplasm
ERBB3	Malignant neoplasm of stomach
ERBB3	Schizophrenia
ERBB3	Unipolar Depression
ERBB3	Malignant neoplasm of gallbladder
ERBB3	Benign neoplasm of stomach
ERBB3	Benign neoplasm of bladder
ERBB3	Carcinoma in situ of stomach
ERBB3	Carcinoma in situ of bladder
ERBB3	Malignant neoplasm of lung
ERBB3	Gastric Adenocarcinoma
ERBB3	Malignant Head and Neck Neoplasm
ERBB3	Malignant neoplasm of prostate
ERBB3	Neoplasm of uncertain or unknown behavior of stomach
ERBB3	Neoplasm of uncertain or unknown behavior of bladder
ERBB3	Breast Carcinoma
ERBB3	Colon Carcinoma
ERBB3	Stomach Carcinoma
ERBB3	Carcinoma of bladder
ERBB3	Major Depressive Disorder
ERBB3	Ovarian Mucinous Adenocarcinoma
ERBB3	Lethal Congenital Contracture Syndrome 2
ERBB3	Nasopharyngeal carcinoma
ERBB3	Head and Neck Carcinoma
ERBB4	Amyotrophic Lateral Sclerosis
ERBB4	Bipolar Disorder
ERBB4	Malignant neoplasm of breast
ERBB4	Malignant neoplasm of skin
ERBB4	gallbladder neoplasm
ERBB4	melanoma
ERBB4	Schizophrenia
ERBB4	Squamous cell carcinoma of lung
ERBB4	Cutaneous Melanoma
ERBB4	Malignant neoplasm of gallbladder
ERBB4	Neoplasm of uncertain or unknown behavior of breast
ERBB4	Breast Carcinoma
ERBB4	Breast adenocarcinoma
ERBB4	Adenocarcinoma of large intestine
ERBB4	AMYOTROPHIC LATERAL SCLEROSIS 19
ERCC1	Alcohol Use Disorder
ERCC1	Non-Small Cell Lung Carcinoma
ERCC1	Uterine Cervical Neoplasm
ERCC1	Malignant neoplasm of stomach
ERCC1	melanoma
ERCC1	Embryonal Neoplasm
ERCC1	Adenocarcinoma of lung (disorder)
ERCC1	Malignant neoplasm of testis
ERCC1	Neoplasms, Embryonal and Mixed
ERCC1	Cerebrooculofacioskeletal Syndrome 1
ERCC1	Malignant neoplasm of lung
ERCC1	Arsenic Poisoning, Inorganic
ERCC1	Nervous System, Organic Arsenic Poisoning
ERCC1	Arsenic Poisoning
ERCC1	Carcinoma of lung
ERCC1	Germ Cell Cancer
ERCC1	Cockayne Syndrome, Type II
ERCC1	Cancer, Embryonal and Mixed
ERCC1	Arsenic Encephalopathy
ERCC1	Arsenic Induced Polyneuropathy
ERCC1	Hereditary Diffuse Gastric Cancer
ERCC1	Tumor of Rete Testis
ERCC1	CEREBROOCULOFACIOSKELETAL SYNDROME 4
ERCC1	CAMFAK syndrome
ERCC1	Pena Shokeir syndrome Type 2
ERCC1	Nasopharyngeal carcinoma
ERCC1	cervical cancer
ERCC2	Malignant neoplasm of urinary bladder
ERCC2	Malignant neoplasm of skin
ERCC2	Basal cell carcinoma
ERCC2	Squamous cell carcinoma
ERCC2	Colorectal Carcinoma
ERCC2	Leukodystrophy
ERCC2	Malignant neoplasm of stomach
ERCC2	melanoma
ERCC2	Sunburn
ERCC2	Xeroderma Pigmentosum
ERCC2	Hyperkeratosis, Epidermolytic
ERCC2	Cataract
ERCC2	Cutaneous Melanoma
ERCC2	Benign neoplasm of bladder
ERCC2	Carcinoma in situ of bladder
ERCC2	Cerebrooculofacioskeletal Syndrome 1
ERCC2	Xeroderma Pigmentosum, Complementation Group D
ERCC2	Malignant neoplasm of prostate
ERCC2	Neoplasm of uncertain or unknown behavior of bladder
ERCC2	Carcinoma of bladder
ERCC2	Colorectal Cancer
ERCC2	Hereditary Diffuse Gastric Cancer
ERCC2	Cerebrooculofacioskeletal Syndrome 2
ERCC2	CAMFAK syndrome
ERCC2	Photosensitive Trichothiodystrophy
ERCC2	Ichthyosis, Congenital, with Trichothiodystrophy
ERCC2	Trichothiodystrophy Syndromes
ERCC2	Pena Shokeir syndrome Type 2
EREG	Malignant neoplasm of breast
EREG	Erythropoietic Protoporphyria
EREG	Ferrochelatase deficiency
EREG	ovarian neoplasm
EREG	Malignant neoplasm of ovary
EYA4	Colorectal Carcinoma
EYA4	Colorectal Cancer
EYA4	Deafness, Autosomal Dominant 10
EYA4	Cardiomyopathy, Dilated, 1J
ERCC3	Malignant neoplasm of breast
ERCC3	Basal cell carcinoma
ERCC3	Squamous cell carcinoma
ERCC3	Leukodystrophy
ERCC3	melanoma
ERCC3	Xeroderma Pigmentosum
ERCC3	Cataract
ERCC3	Cutaneous Melanoma
ERCC3	Xeroderma pigmentosum, group B
ERCC3	Arsenic Poisoning, Inorganic
ERCC3	Nervous System, Organic Arsenic Poisoning
ERCC3	Arsenic Poisoning
ERCC3	Arsenic Encephalopathy
ERCC3	Arsenic Induced Polyneuropathy
ERCC3	Trichothiodystrophy Syndromes
ERCC3	Xeroderma Pigmentosum B-Cockayne Syndrome
ERCC3	TRICHOTHIODYSTROPHY 2, PHOTOSENSITIVE
ERCC4	Malignant neoplasm of urinary bladder
ERCC4	Basal cell carcinoma
ERCC4	Squamous cell carcinoma
ERCC4	Fanconi Anemia
ERCC4	melanoma
ERCC4	Embryonal Neoplasm
ERCC4	Neurofibromatosis 1
ERCC4	Ovarian Carcinoma
ERCC4	Xeroderma Pigmentosum
ERCC4	Cutaneous Melanoma
ERCC4	Malignant neoplasm of testis
ERCC4	Congenital anemia
ERCC4	Neoplasms, Embryonal and Mixed
ERCC4	Xeroderma pigmentosum, group F
ERCC4	Arsenic Poisoning, Inorganic
ERCC4	Nervous System, Organic Arsenic Poisoning
ERCC4	Arsenic Poisoning
ERCC4	Primary microcephaly
ERCC4	Neoplasm of uncertain or unknown behavior of ovary
ERCC4	Germ Cell Cancer
ERCC4	Cockayne Syndrome, Type I
ERCC4	Cancer, Embryonal and Mixed
ERCC4	Arsenic Encephalopathy
ERCC4	Arsenic Induced Polyneuropathy
ERCC4	ovarian neoplasm
ERCC4	Malignant neoplasm of ovary
ERCC4	Tumor of Rete Testis
ERCC4	Esophageal atresia with or without tracheoesophageal fistula
ERCC4	XFE Progeroid Syndrome
ERCC4	XERODERMA PIGMENTOSUM, TYPE F/COCKAYNE SYNDROME
ERCC4	FANCONI ANEMIA, COMPLEMENTATION GROUP Q
ERCC4	Radial club hand
ERCC5	Basal cell carcinoma
ERCC5	Squamous cell carcinoma
ERCC5	melanoma
ERCC5	Xeroderma Pigmentosum
ERCC5	Cutaneous Melanoma
ERCC5	Cerebrooculofacioskeletal Syndrome 1
ERCC5	Xeroderma pigmentosum, group G
ERCC5	Primary microcephaly
ERCC5	Cerebrooculofacioskeletal Syndrome 3
ERCC5	CAMFAK syndrome
ERCC5	Xeroderma Pigmentosum, Type G-Cockayne Syndrome
ERCC5	Pena Shokeir syndrome Type 2
ERCC6	Arthrogryposis
ERCC6	Malignant neoplasm of breast
ERCC6	Cockayne Syndrome
ERCC6	Hydroa Vacciniforme
ERCC6	Leukodystrophy
ERCC6	Microcephaly
ERCC6	Microphthalmos
ERCC6	Osteogenesis Imperfecta
ERCC6	Ovarian Carcinoma
ERCC6	Cataract
ERCC6	Cerebrooculofacioskeletal Syndrome 1
ERCC6	Premature aging syndrome
ERCC6	Malignant neoplasm of lung
ERCC6	Age related macular degeneration
ERCC6	De Sanctis-Cacchione syndrome
ERCC6	Primary microcephaly
ERCC6	Neoplasm of uncertain or unknown behavior of ovary
ERCC6	Pseudoaphakia
ERCC6	Cockayne Syndrome, Type III
ERCC6	Cockayne Syndrome, Type II
ERCC6	Cockayne Syndrome, Type I
ERCC6	Developmental Psychomotor Disorders
ERCC6	ovarian neoplasm
ERCC6	Malignant neoplasm of ovary
ERCC6	Colorectal Cancer
ERCC6	UV-Sensitive Syndrome
ERCC6	CAMFAK syndrome
ERCC6	Microlissencephaly
ERCC6	Pena Shokeir syndrome Type 2
ERCC6	MACULAR DEGENERATION, AGE-RELATED, 5
ERCC6	Severe Congenital Microcephaly
ERCC6	PREMATURE OVARIAN FAILURE 11
ERF	Arnold Chiari Malformation
ERF	Craniosynostosis
ERF	Hydrocephalus
ERF	Acrocephaly
ERF	Brachycephaly
ERF	Scaphycephaly
ERF	Trigonocephaly
ERF	Malignant neoplasm of prostate
ERF	Semantic-Pragmatic Disorder
ERF	Chiari malformation type II
ERF	Arnold-Chiari Malformation, Type I
ERF	Arnold-Chiari Malformation, Type III
ERF	Arnold-Chiari Malformation, Type IV
ERF	Auditory Processing Disorder, Central
ERF	Synostotic Posterior Plagiocephaly
ERF	Metopic synostosis
ERF	Synostotic Anterior Plagiocephaly
ERF	Craniofacial dysostosis type 1
ERF	CRANIOSYNOSTOSIS 4
ERF	CHITAYAT SYNDROME
ERG	leukemia
ERG	Childhood Acute Lymphoblastic Leukemia
ERG	Leukemia, Lymphocytic, Acute, L2
ERG	Leukemia, Myelocytic, Acute
ERG	Acute Myeloid Leukemia, M1
ERG	Extraosseous Ewings sarcoma-primitive neuroepithelial tumor
ERG	Malignant neoplasm of prostate
ERG	Ewings sarcoma
ERG	Acute Myeloid Leukemia (AML-M2)
ERG	Precursor Cell Lymphoblastic Leukemia Lymphoma
ERN1	Epilepsy
ERN1	Epilepsy, Cryptogenic
ERN1	Adenocarcinoma of lung (disorder)
ERN1	Gastric Adenocarcinoma
ERN1	Conventional (Clear Cell) Renal Cell Carcinoma
ERN1	Awakening Epilepsy
ERN1	Ovarian Serous Adenocarcinoma
ERN1	Glioblastoma Multiforme
FBL	Malignant neoplasm of breast
FBL	Adenocarcinoma of lung (disorder)
FBL	Breast Carcinoma
ESD	Degenerative polyarthritis
ESD	Osteoarthrosis Deformans
ESR1	Alzheimer's Disease
ESR1	Astrocytoma
ESR1	Atherosclerosis
ESR1	Bipolar Disorder
ESR1	Malignant neoplasm of urinary bladder
ESR1	Malignant neoplasm of breast
ESR1	Cervical Migraine Syndrome
ESR1	Coronary Arteriosclerosis
ESR1	Presenile dementia
ESR1	Mental Depression
ESR1	Depressive disorder
ESR1	Glomerulonephritis
ESR1	Hemicrania migraine
